id,type,subtype,name,rank,slash,crush,pierce,blaze,freeze,spark,divine,parent,skill,cost,prereq,materials
M-SB-001,Melee,Short Blade,Knife P,1,55,0,24,0,0,0,0,-,Fencer I,350,-,Pixie Thorn:1|Brittle Titanium:1
M-SB-002,Melee,Short Blade,Knife,1,59,0,25,0,0,0,0,M-SB-001,Fencer II,280,M-SB-001,Pixie Thorn:2|Brittle Titanium:1
M-SB-003,Melee,Short Blade,Knife II,4,135,0,57,0,0,0,0,M-SB-002,Fencer IV,2800,M-SB-002,Pixie Spine:1|Nickel:1|Ceramic Plate:1|Tungsten:1
M-SB-004,Melee,Short Blade,Knife N,6,183,0,78,0,0,0,0,M-SB-003,Fencer V,4160,M-SB-003,Emperor Wing:2|Prince's Dust:2|Royal Armor:1|Hanuman Mesh:1|Tungsten:1
M-SB-005,Melee,Short Blade,Knife X,10,307,0,131,0,0,0,0,M-SB-004,"Fencer V, Short Blade Master II",13600,M-SB-004,Pure Silver:1|Serpent Blaze Fang:2|Phantom Incisor:1|Seraphic Crystal:1|Phantom Horn:1
M-SB-006,Melee,Short Blade,Knife V,13,350,0,149,0,0,0,0,M-SB-005,"Fencer V, Short Blade Master III",52000,M-SB-005,Pure Soft Iron:1|Cemented Carbide:1|Phantom Arm Gauntlet:1|Phantom Lance:1|Deific Crystal:1
M-SB-007,Melee,Short Blade,Knife EX,14,362,0,154,0,0,0,0,M-SB-006,"Fencer V, Short Blade Master IV",96000,M-SB-006,Generic Compound Core:1
M-SB-008,Melee,Short Blade,Fiery Knife,3,101,0,43,1,0,0,0,M-SB-002,Fencer III,664,M-SB-002,Flaring Pixie Shell:1|Brittle Tungsten:1|Draconic Fin:1
M-SB-009,Melee,Short Blade,Fiery Knife II,5,159,0,68,1,0,0,0,M-SB-008,Fencer IV,3360,M-SB-008,Blaze Ogre Tooth:1|Blaze Ogre Mask:1|Nickel:1|Ceramic Plate:1
M-SB-010,Melee,Short Blade,Fiery Knife N,7,221,0,94,1,0,0,0,M-SB-009,Fencer V,7760,M-SB-009,Wyrm Blaze Fang:2|Draconic Tallow:1|Wyrm Amethyst:1|King Tallow:1|Tungsten Alloy:1
M-SB-011,Melee,Short Blade,Fiery Knife X,9,275,0,117,1,0,0,0,M-SB-010,"Fencer V, Short Blade Master I",9600,M-SB-010,Ares Alloy:2|Ares Armor:2|Blaze Knight Amethyst:1|Niobium:1|Oracle Blaze Stone:1
M-SB-012,Melee,Short Blade,Fiery Knife V,10,307,0,131,1,0,0,0,M-SB-011,"Fencer V, Short Blade Master II",13600,M-SB-011,Helios Carver:1|Helios Halo:1|Yin-Yang Carver:1|Yin-Yang Halo:1|Adamantite:1
M-SB-013,Melee,Short Blade,Fiery Knife S,13,350,0,149,1,0,0,0,M-SB-012,"Fencer V, Short Blade Master III",52000,M-SB-012,Invictus Carver:2|Helios Ambrosia:1|Invictus Corona:2|Invictus Crystal:1|Oracle Lucent Stone:1
M-SB-014,Melee,Short Blade,Fiery Knife EX,14,362,0,154,1,0,0,0,M-SB-013,"Fencer V, Short Blade Master IV",96000,M-SB-013,Generic Compound Core:1
M-SB-015,Melee,Short Blade,Chill Knife,4,135,0,57,0,1,0,0,M-SB-002,Fencer III,2800,M-SB-002,Goddess Plumage:1|Goddess Filigree:1|Nickel:1
M-SB-016,Melee,Short Blade,Chill Knife II,6,183,0,78,0,1,0,0,M-SB-015,Fencer V,4160,M-SB-015,Royal Fang:2|Royal Armor:1|Pixie Ice Shell:2|Manganese:1|Fossil Tree:1
M-SB-017,Melee,Short Blade,Freezing Knife,8,241,0,103,0,1,0,0,M-SB-016,"Fencer V, Short Blade Master I",8800,M-SB-016,Basilisk Ice Fang:2|Basilisk Ice Armor:2|Wukong Redstone:1|Niobium:1|Tungsten Alloy:1
M-SB-018,Melee,Short Blade,Freezing Knife II,9,275,0,117,0,1,0,0,M-SB-017,"Fencer V, Short Blade Master II",9600,M-SB-017,Ice Wyrm Fang:2|Frigid Ambrosia:1|Wukong Armor+:2|Hanuman Ambrosia:1|Oracle Freeze Stone:1
M-SB-019,Melee,Short Blade,Freezing Knife N,12,330,0,141,0,1,0,0,M-SB-018,"Fencer V, Short Blade Master III",40800,M-SB-018,Royal Ice Armor:2|Basilisk Hematite:1|Wukong Amethyst:1|Hanuman Ambrosia:1|Oracle Lucent Stone:1
M-SB-020,Melee,Short Blade,Freezing Knife EX,14,362,0,154,0,1,0,0,M-SB-019,"Fencer V, Short Blade Master IV",96000,M-SB-019,Generic Compound Core:1
M-SB-021,Melee,Short Blade,Shock Knife,4,135,0,57,0,0,1,0,M-SB-002,Fencer III,2800,M-SB-002,Chimera Spark Fur:2|Chimera Skull:1|Tungsten:1|Mistle:1
M-SB-022,Melee,Short Blade,Shock Knife II,6,183,0,78,0,0,1,0,M-SB-021,Fencer V,4160,M-SB-021,Emperor Claw:1|Spark Ogre Mask:1|Voltaic Pixie Shell:1|Ceramic Plate:1|Spark Ogre Fang:1
M-SB-023,Melee,Short Blade,Railknife,8,241,0,103,0,0,1,0,M-SB-022,"Fencer V, Short Blade Master I",8800,M-SB-022,Anathema Raiment:2|Emperor Claw:2|Pixie Shock Shell:1|High Conductor:1|Niobium:1
M-SB-024,Melee,Short Blade,Railknife II,11,319,0,136,0,0,1,0,M-SB-023,"Fencer V, Short Blade Master II",16000,M-SB-023,Elder's Armor:2|Elder's Horn:1|Thunder Ogre Horn:1|High Conductor:1|Oracle Spark Stone:1
M-SB-025,Melee,Short Blade,Railknife N,13,350,0,149,0,0,1,0,M-SB-024,"Fencer V, Short Blade Master III",52000,M-SB-024,Thunder Ogre Tusk:1|Thunder Ogre Horn:1|Thunder Ogre Domino:1|Super Conductor:1|Oracle Lucent Stone:1
M-SB-026,Melee,Short Blade,Railknife EX,14,362,0,154,0,0,1,0,M-SB-025,"Fencer V, Short Blade Master IV",96000,M-SB-025,Generic Compound Core:1
